"Plot Title: 10767519"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Detached (LGR S/N: 10767519, SEN S/N: 10767519)","Coupler Attached (LGR S/N: 10767519, SEN S/N: 10767519)","Stopped (LGR S/N: 10767519, SEN S/N: 10767519)","End Of File (LGR S/N: 10767519, SEN S/N: 10767519)"
403,05/23/19 06:00:00 AM,13.714,,,,
404,05/23/19 07:00:00 AM,13.449,,,,
405,05/23/19 08:00:00 AM,13.425,,,,
406,05/23/19 09:00:00 AM,13.522,,,,
407,05/23/19 10:00:00 AM,15.986,,,,
408,05/23/19 11:00:00 AM,20.412,,,,
409,05/23/19 12:00:00 PM,22.226,,,,
410,05/23/19 01:00:00 PM,24.871,,,,
411,05/23/19 02:00:00 PM,23.088,,,,
412,05/23/19 03:00:00 PM,24.968,,,,
413,05/23/19 04:00:00 PM,21.819,,,,
414,05/23/19 05:00:00 PM,20.269,,,,
415,05/23/19 06:00:00 PM,22.920,,,,
416,05/23/19 07:00:00 PM,23.545,,,,
417,05/23/19 08:00:00 PM,21.318,,,,
418,05/23/19 09:00:00 PM,19.817,,,,
419,05/23/19 10:00:00 PM,20.770,,,,
420,05/23/19 11:00:00 PM,18.176,,,,
421,05/24/19 12:00:00 AM,16.225,,,,
422,05/24/19 01:00:00 AM,15.366,,,,
423,05/24/19 02:00:00 AM,14.912,,,,
424,05/24/19 03:00:00 AM,14.649,,,,
425,05/24/19 04:00:00 AM,14.481,,,,
426,05/24/19 05:00:00 AM,14.314,,,,
427,05/24/19 06:00:00 AM,14.170,,,,
428,05/24/19 07:00:00 AM,14.050,,,,
429,05/24/19 08:00:00 AM,13.930,,,,
430,05/24/19 09:00:00 AM,13.834,,,,
431,05/24/19 10:00:00 AM,13.546,,,,
432,05/24/19 11:00:00 AM,13.546,,,,
433,05/24/19 12:00:00 PM,14.074,,,,
434,05/24/19 01:00:00 PM,14.337,,,,
435,05/24/19 02:00:00 PM,14.601,,,,
436,05/24/19 03:00:00 PM,15.055,,,,
437,05/24/19 04:00:00 PM,15.629,,,,
438,05/24/19 05:00:00 PM,15.843,,,,
439,05/24/19 06:00:00 PM,15.629,,,,
440,05/24/19 07:00:00 PM,15.461,,,,
441,05/24/19 08:00:00 PM,15.366,,,,
442,05/24/19 09:00:00 PM,15.247,,,,
443,05/24/19 10:00:00 PM,15.127,,,,
444,05/24/19 11:00:00 PM,14.984,,,,
445,05/25/19 12:00:00 AM,14.768,,,,
446,05/25/19 01:00:00 AM,14.529,,,,
447,05/25/19 02:00:00 AM,14.266,,,,
448,05/25/19 03:00:00 AM,14.002,,,,
449,05/25/19 04:00:00 AM,13.762,,,,
450,05/25/19 05:00:00 AM,13.546,,,,
451,05/25/19 06:00:00 AM,13.329,,,,
452,05/25/19 07:00:00 AM,13.185,,,,
453,05/25/19 08:00:00 AM,13.185,,,,
454,05/25/19 09:00:00 AM,13.377,,,,
455,05/25/19 10:00:00 AM,13.666,,,,
456,05/25/19 11:00:00 AM,13.978,,,,
457,05/25/19 12:00:00 PM,14.290,,,,
458,05/25/19 01:00:00 PM,14.577,,,,
459,05/25/19 02:00:00 PM,14.792,,,,
460,05/25/19 03:00:00 PM,14.936,,,,
461,05/25/19 04:00:00 PM,15.079,,,,
462,05/25/19 05:00:00 PM,15.247,,,,
463,05/25/19 06:00:00 PM,15.390,,,,
464,05/25/19 07:00:00 PM,15.509,,,,
465,05/25/19 08:00:00 PM,15.533,,,,
466,05/25/19 09:00:00 PM,15.509,,,,
467,05/25/19 10:00:00 PM,15.414,,,,
468,05/25/19 11:00:00 PM,15.270,,,,
469,05/26/19 12:00:00 AM,15.127,,,,
470,05/26/19 01:00:00 AM,14.936,,,,
471,05/26/19 02:00:00 AM,14.745,,,,
472,05/26/19 03:00:00 AM,14.553,,,,
473,05/26/19 04:00:00 AM,14.361,,,,
474,05/26/19 05:00:00 AM,14.170,,,,
475,05/26/19 06:00:00 AM,14.002,,,,
476,05/26/19 07:00:00 AM,13.858,,,,
477,05/26/19 08:00:00 AM,13.786,,,,
478,05/26/19 09:00:00 AM,13.810,,,,
479,05/26/19 10:00:00 AM,13.906,,,,
480,05/26/19 11:00:00 AM,14.098,,,,
481,05/26/19 12:00:00 PM,14.314,,,,
482,05/26/19 01:00:00 PM,14.577,,,,
483,05/26/19 02:00:00 PM,14.816,,,,
484,05/26/19 03:00:00 PM,15.031,,,,
485,05/26/19 04:00:00 PM,15.223,,,,
486,05/26/19 05:00:00 PM,15.390,,,,
487,05/26/19 06:00:00 PM,15.461,,,,
488,05/26/19 07:00:00 PM,15.700,,,,
489,05/26/19 08:00:00 PM,15.843,,,,
490,05/26/19 09:00:00 PM,15.891,,,,
491,05/26/19 10:00:00 PM,15.843,,,,
492,05/26/19 11:00:00 PM,15.748,,,,
493,05/27/19 12:00:00 AM,15.605,,,,
494,05/27/19 01:00:00 AM,15.414,,,,
495,05/27/19 02:00:00 AM,15.247,,,,
496,05/27/19 03:00:00 AM,15.079,,,,
497,05/27/19 04:00:00 AM,14.912,,,,
498,05/27/19 05:00:00 AM,14.768,,,,
499,05/27/19 06:00:00 AM,14.625,,,,
500,05/27/19 07:00:00 AM,14.481,,,,
501,05/27/19 08:00:00 AM,14.361,,,,
502,05/27/19 09:00:00 AM,14.290,,,,
503,05/27/19 10:00:00 AM,14.481,,,,
504,05/27/19 11:00:00 AM,14.960,,,,
505,05/27/19 12:00:00 PM,15.629,,,,
506,05/27/19 01:00:00 PM,15.557,,,,
507,05/27/19 02:00:00 PM,15.485,,,,
508,05/27/19 03:00:00 PM,15.438,,,,
509,05/27/19 04:00:00 PM,15.485,,,,
510,05/27/19 05:00:00 PM,15.533,,,,
511,05/27/19 06:00:00 PM,15.629,,,,
512,05/27/19 07:00:00 PM,15.724,,,,
513,05/27/19 08:00:00 PM,15.819,,,,
514,05/27/19 09:00:00 PM,15.891,,,,
